Chainage,Mandatory,Cautionary,Informatory
324+877,0,0,0
324+897,0,0,0
324+907,0,0,0
324+927,0,1,0
324+937,1,0,0
324+957,0,0,0
324+967,0,0,0
324+987,0,0,0
324+997,0,0,0
325+017,0,0,0
325+027,0,0,0
325+047,0,0,0
325+067,0,0,0
325+077,0,0,0
325+097,0,0,0
325+107,0,0,0
325+127,0,0,0
325+137,0,0,0
325+157,0,0,0
325+167,0,0,0
325+187,0,0,0
325+197,0,0,0
325+217,0,0,0
325+227,0,0,0
325+247,0,0,0
325+257,0,0,0
325+277,0,0,0
325+287,0,0,0
325+307,0,1,0
325+327,0,0,0
325+337,0,0,0
325+357,0,0,0
325+367,0,0,0
325+387,0,0,0
325+397,0,0,0
325+417,0,0,0
325+437,0,0,0
325+447,0,0,0
325+467,0,0,0
325+477,0,0,0
325+487,0,1,0
325+507,0,0,0
325+517,0,0,0
325+537,0,0,0
325+547,0,0,0
325+567,0,0,0
325+587,0,0,0
325+597,0,0,0
325+617,0,0,0
325+627,0,0,0
325+647,0,0,0
325+657,0,0,0
325+677,0,0,0
325+687,0,0,0
325+707,0,0,0
325+727,0,0,0
325+737,0,0,0
325+757,0,0,0
325+777,0,0,0
325+787,0,0,0
325+807,0,0,0
325+817,0,0,0
325+837,0,0,0
325+847,0,1,0
325+867,0,0,0
325+887,0,0,0
325+907,0,0,0
325+917,0,0,0
325+937,0,0,0
325+957,0,0,0
325+967,0,0,0
325+987,0,0,0
326+007,0,0,0
326+017,0,1,0
326+037,0,0,1
326+057,0,0,0
326+067,0,0,0
326+087,0,0,0
326+097,0,0,0
326+117,0,0,0
326+127,0,0,0
326+147,0,1,0
326+167,0,1,0
326+177,0,0,0
326+197,0,0,0
326+207,0,0,0
326+217,0,0,0
326+237,0,0,0
326+257,0,0,0
326+267,0,0,0
326+287,0,0,0
326+297,0,0,0
326+317,0,0,0
326+327,0,0,0
326+337,0,0,0
326+357,0,0,0
326+367,0,0,0
326+377,0,0,0
326+397,0,0,0
326+407,0,0,0
326+417,0,0,0
326+437,0,0,0
326+447,0,0,0
326+457,0,0,0
326+477,0,0,0
326+487,0,0,0
326+497,0,0,0
326+517,0,0,0
326+527,0,0,0
326+547,0,0,0
326+557,0,0,0
326+577,0,0,0
326+587,0,0,0
326+607,0,0,0
326+617,0,0,0
326+637,0,0,0
326+647,0,1,0
326+667,0,0,0
326+677,0,0,0
326+697,0,0,0
326+707,0,0,0
326+727,0,0,0
326+737,0,0,0
326+757,0,0,0
326+777,0,0,0
326+787,0,0,0
326+807,0,0,0
326+817,0,0,0
326+837,0,0,0
326+857,0,0,0
326+867,0,0,1
326+887,0,0,0
326+897,0,0,0
326+917,0,0,0
326+927,0,0,0
326+947,0,0,0
326+957,0,0,0
326+977,0,0,0
326+997,0,0,0
327+007,0,0,0
327+027,0,1,0
327+037,0,0,0
327+057,0,0,0
327+067,0,0,0
327+087,0,0,0
327+097,0,0,0
327+117,0,0,0
327+127,0,0,0
327+147,0,0,0
327+157,0,0,0
327+177,0,0,0
327+187,0,0,0
327+207,0,0,0
327+217,0,0,0
327+237,0,0,0
327+247,0,0,0
327+257,0,0,0
327+277,0,0,0
327+287,0,0,0
327+307,0,0,0
327+317,0,0,0
327+327,0,0,0
327+347,0,0,1
327+357,0,0,0
327+377,0,0,0
327+387,0,0,0
327+397,0,0,0
327+407,0,0,0
327+427,0,0,0
327+437,0,0,0
327+447,0,0,0
327+467,0,0,0
327+477,0,0,0
327+487,0,0,0
327+507,0,0,0
327+517,0,0,0
327+527,0,0,0
327+547,0,0,0
327+557,1,0,0
327+577,0,0,0
327+587,0,0,0
327+607,0,0,0
327+617,0,0,0
327+637,0,1,0
327+647,1,0,0
327+667,0,1,0
327+677,0,0,0
327+687,0,0,0
327+707,0,0,0
327+717,0,0,0
327+737,0,0,0
327+747,0,0,0
327+767,1,0,0
327+777,0,0,0
327+797,0,0,0
327+807,0,0,0
327+817,0,0,0
327+837,0,0,0
327+847,0,0,0
327+867,0,1,0
327+877,0,0,0
327+897,0,0,0
327+907,0,0,0
327+927,0,0,0
327+937,0,1,0
327+957,0,0,0
327+967,0,0,0
327+987,0,0,0
327+997,0,0,0
328+007,0,0,0
328+027,0,0,0
328+037,0,1,0
328+047,0,1,0
328+067,0,0,0
328+077,0,0,0
328+087,0,0,0
328+107,0,1,0
328+117,0,0,0
328+127,0,0,1
328+147,0,0,0
328+157,0,0,0
328+177,0,0,0
328+187,0,0,0
328+197,0,0,0
328+217,0,0,0
328+227,0,0,0
328+247,0,0,0
328+257,0,0,0
328+267,0,0,0
328+287,0,0,0
328+297,0,0,0
328+317,0,0,0
328+327,0,0,0
328+347,0,0,0
328+357,0,0,0
328+377,0,0,0
328+387,0,0,0
328+397,0,0,0
328+417,0,0,0
328+427,0,0,1
328+437,0,0,0
328+457,0,0,0
328+467,0,0,0
328+477,0,0,0
328+487,0,0,0
328+507,0,0,0
328+517,0,0,0
328+527,0,0,0
328+547,0,0,0
328+557,0,0,0
328+577,0,0,0
328+587,0,0,0
328+597,0,0,0
328+607,0,0,0
328+627,0,0,0
328+637,0,0,0
328+647,0,0,0
328+667,0,0,0
328+677,0,0,1
328+687,0,0,1
328+697,0,0,0
328+717,0,0,0
328+727,0,0,0
328+737,0,0,0
328+747,0,0,0
328+757,0,0,0
328+777,0,0,0
328+787,0,0,1
328+797,1,1,0
328+817,0,0,0
328+827,0,0,0
328+847,0,0,0
328+857,0,0,0
328+867,0,0,0
328+887,0,0,1
328+897,1,0,0
328+917,0,1,0
328+927,0,0,0
328+947,0,0,0
328+957,0,0,0
328+977,0,0,0
328+987,1,0,0
329+007,0,0,0
329+017,0,0,0
329+037,0,0,0
329+047,0,0,0
329+067,0,0,0
329+077,0,0,0
329+097,0,0,0
329+117,0,0,0
329+127,0,0,0
329+147,0,1,0
329+157,0,1,0
329+177,0,1,0
329+197,0,0,0
329+207,0,0,0
329+227,0,0,0
329+237,0,0,0
329+257,0,0,0
329+267,0,0,0
329+287,0,0,0
329+297,0,0,0
329+317,0,0,0
329+327,0,0,0
329+337,0,0,0
329+357,0,0,0
329+367,0,0,0
329+387,0,0,0
329+397,0,0,0
329+417,0,0,0
329+427,0,0,0
329+447,0,0,0
329+457,0,0,0
329+467,0,0,0
329+487,0,0,0
329+497,0,0,0
329+507,0,0,0
329+517,0,0,0
329+537,0,0,0
329+547,0,0,0
329+557,0,0,0
329+567,0,0,0
329+587,0,0,0
329+597,0,0,0
329+607,0,0,0
329+627,0,0,0
329+637,0,0,0
329+647,0,0,0
329+667,0,0,0
329+677,0,0,0
329+687,0,0,0
329+707,0,0,0
329+717,0,0,0
329+727,0,0,0
329+747,0,0,0
329+757,0,0,0
329+767,0,0,0
329+787,0,1,0
329+797,0,0,0
329+807,0,0,0
329+827,0,0,0
329+837,0,0,0
329+847,0,0,0
329+867,0,0,0
329+877,0,0,0
329+897,0,0,0
329+907,0,0,0
329+917,0,0,0
329+937,0,0,0
329+947,0,0,0
329+967,0,1,0
329+977,0,0,0
329+987,0,0,0
330+007,0,0,0
330+017,0,0,0
330+037,0,0,0
330+057,0,0,0
330+067,0,0,0
330+077,0,0,0
330+097,0,0,0
330+107,0,0,0
330+127,0,0,0
330+137,0,0,0
330+157,0,0,0
330+167,0,0,0
330+187,0,0,0
330+197,0,0,0
330+217,0,0,0
330+227,0,0,0
330+237,0,0,0
330+257,0,0,0
330+267,0,0,0
330+287,0,0,0
330+307,0,0,0
330+317,0,0,0
330+337,0,0,0
330+347,0,0,0
330+367,0,0,0
330+377,0,0,0
330+397,0,0,0
330+417,0,0,0
330+427,0,0,0
330+447,0,1,0
330+467,0,0,0
330+477,0,0,0
330+497,0,0,1
330+517,0,0,0
330+537,0,0,0
330+547,0,0,0
330+567,0,0,0
330+587,0,0,1
330+607,0,1,0
330+617,0,0,0
330+637,0,0,0
330+657,0,0,0
330+667,0,0,0
330+687,1,0,0
330+707,0,0,0
330+717,0,0,0
330+737,0,0,0
330+757,0,0,0
330+767,1,0,0
330+787,0,0,0
330+807,0,0,0
330+817,0,0,0
330+837,0,0,0
330+857,0,0,0
330+877,0,0,0
330+897,0,0,0
330+907,0,1,0
330+927,0,0,0
330+947,0,1,0
330+957,0,0,0
330+977,1,0,0
330+987,0,0,0
331+007,0,0,0
331+017,0,0,0
331+037,0,0,0
331+057,0,0,0
331+067,0,1,0
331+087,0,0,0
331+097,0,0,0
331+107,0,0,0
331+127,0,0,0
331+137,0,0,0
331+157,0,0,0
331+167,0,0,0
331+177,0,0,0
331+197,0,0,0
331+207,0,0,0
331+227,0,0,0
331+237,0,0,0
331+257,0,0,0
331+267,0,0,0
331+277,0,0,0
331+297,0,0,0
331+307,0,0,0
331+327,0,0,0
331+337,0,0,0
331+357,0,0,0
331+367,0,0,0
331+387,0,0,0
331+397,0,0,0
331+417,0,0,0
331+427,0,1,0
331+447,0,0,0
331+457,0,1,0
331+477,0,0,0
331+487,0,0,0
331+507,0,0,0
331+517,0,0,0
331+527,0,0,0
331+547,0,0,0
331+557,0,0,0
331+577,0,0,0
331+587,0,0,0
331+607,0,0,0
331+617,0,0,0
331+627,0,1,0
331+647,0,0,0
331+657,0,0,0
331+667,0,1,0
331+677,0,1,0
331+697,0,0,0
331+707,0,0,0
331+717,0,0,0
331+737,0,0,0
331+747,0,0,0
331+767,0,0,0
331+777,0,0,0
331+787,0,0,0
331+807,0,0,0
331+817,0,0,0
331+827,0,0,0
331+847,0,0,0
331+857,0,0,0
331+867,0,0,0
331+887,0,0,0
331+897,0,0,0
331+917,0,0,0
331+927,0,0,0
331+937,0,0,0
331+957,0,0,0
331+967,0,0,0
331+987,0,0,0
331+997,0,0,0
332+017,0,1,0
332+027,0,0,0
332+047,0,0,0
332+057,0,0,0
332+077,0,0,0
332+097,0,0,0
332+107,0,0,0
332+127,0,0,0
332+137,0,0,0
332+157,0,1,0
332+167,0,1,0
332+187,0,0,0
332+197,0,0,0
332+207,0,0,0
332+227,0,0,0
332+237,0,0,0
332+247,0,0,0
332+257,0,0,0
332+267,0,0,0
332+287,0,0,0
332+297,0,0,0
332+307,0,0,0
332+317,0,0,0
332+327,0,0,0
332+337,0,0,0
332+347,0,0,0
332+367,0,0,0
332+377,0,0,0
332+387,0,0,0
332+397,0,0,0
332+407,0,0,0
332+417,0,0,0
332+427,0,0,0
332+437,0,0,0
332+457,0,0,0
332+467,0,0,0
332+477,0,0,0
332+487,0,0,0
332+497,0,0,1
